"","Complaint","Lat","Lon"
"646","Animal in a Park",NA,NA
"647","Animal in a Park",NA,NA
"648","Animal in a Park",NA,NA
"649","Animal in a Park",NA,NA
"650","Animal in a Park",40.63976223,-74.03558877
"651","Animal in a Park",40.82289195,-73.95573215
"652","Animal in a Park",NA,NA
"653","Animal in a Park",NA,NA
"654","Animal in a Park",NA,NA
"655","Animal in a Park",NA,NA
"656","Animal in a Park",NA,NA
"657","Animal in a Park",NA,NA
"658","Animal in a Park",NA,NA
"659","Animal in a Park",40.7876681,-73.83431801
"660","Animal in a Park",NA,NA
"661","Animal in a Park",NA,NA
"662","Animal in a Park",NA,NA
"663","Animal in a Park",40.77291378,-73.89664865
"664","Animal in a Park",NA,NA
"665","Animal in a Park",NA,NA
"666","Animal in a Park",NA,NA
"667","Animal in a Park",40.59673525,-74.07044031
"668","Animal in a Park",NA,NA
"669","Animal in a Park",40.62868364,-74.01214076
"670","Animal in a Park",40.72197769,-73.95993714
"671","Animal in a Park",40.74161055,-73.88294442
"672","Animal in a Park",NA,NA
"673","Animal in a Park",NA,NA
"674","Animal in a Park",NA,NA
"675","Animal in a Park",NA,NA
"676","Animal in a Park",NA,NA
"677","Animal in a Park",NA,NA
"678","Animal in a Park",40.88270955,-73.88124583
"679","Animal in a Park",NA,NA
"680","Animal in a Park",NA,NA
"681","Animal in a Park",40.60745787,-73.98533128
"682","Animal in a Park",NA,NA
"683","Animal in a Park",40.74985094,-73.71502456
"684","Animal in a Park",NA,NA
"685","Animal in a Park",40.71764246,-73.84101429
"686","Animal in a Park",40.76993576,-73.7683018
"687","Animal in a Park",40.60745787,-73.98533128
"688","Animal in a Park",40.67397505,-73.98569879
"689","Animal in a Park",NA,NA
"690","Animal in a Park",40.83142128,-73.92642398
"691","Animal in a Park",40.56254641,-74.11149083
"692","Animal in a Park",40.63882065,-74.03595939
"693","Animal in a Park",40.72575898,-73.89975598
"694","Animal in a Park",NA,NA
"695","Animal in a Park",NA,NA
"696","Animal in a Park",NA,NA
"697","Animal in a Park",NA,NA
"698","Animal in a Park",NA,NA
"699","Animal in a Park",NA,NA
"700","Animal in a Park",NA,NA
"701","Animal in a Park",NA,NA
"702","Animal in a Park",NA,NA
"703","Animal in a Park",40.67279721,-73.9832837
"704","Animal in a Park",NA,NA
"705","Animal in a Park",NA,NA
"706","Animal in a Park",NA,NA
