"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"311","Jesse Owens Playground","Stuyvesant & Lafayette avenues","Yes","Yes","Brooklyn",42.3903615,-73.7815126
"312","John Golden Park","215 Place, south of 32 Avenue","No","Yes","Queens",36.2202414,-83.2562869
"313","John J. Carty Park","Fort Hamilton Parkway, 94-95 streets","Yes","No","Brooklyn",40.614814,-74.029402
"314","John Jay Park & Pool","East 76-East 78 streets & Cherokee Place","Yes","No","Manhattan",38.979234,-94.439631
"315","John Paul Jones Park","Shore Parkway, Fort Hamilton Parkway, 101 Street","Yes","No","Brooklyn",40.6022659,-74.012203
"318","Joseph Austin Playground","Grand Central Parkway & 164 Place","Yes","No","Queens",40.7186362,-73.7954966
"319","Joseph F. Mafera Park","65 Place & Catalpa Avenue & 68 Avenue","Yes","No","Queens",40.7356231,-73.8999796
"320","Julio Carballo Field","Lafayette Avenue, Manda Street","Yes","No","Bronx",29.7241119,-91.3062695
"321","Juniper Valley Park","Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end","Yes","Yes","Queens",42.3388111,-71.0765188
"322","Juniper Valley Park (North Playground Tennis)","62nd Avenue & 80th Street","Yes","No","Queens",33.5984872,-116.1553285
"323","K.L. Williams Playground (Tennis)","Liberty Avenue, 172-173 streets","Yes","No","Queens",40.1387194,-92.0726067
"326","Kennedy King Playground","East 93 Street & Lenox Road","Yes","No","Brooklyn",41.4599879,-81.6214291
"327","Kennedy Playground","Corp. Kennedy Street & 33 Avenue","Yes","No","Queens",40.7699431,-73.7793645
"328","Kissena Corridor East (Underhill Playground)","Peck Avenue & 188 Street","Yes","No","Queens",40.9852219,-73.6771619
"329","Kissena Park","Oak Avenue, 104th Street, & Kissena Lake Area","Yes","No","Queens",27.8198168,-82.7825187
"330","Kissena Park (Tennis Courts)","Rose & Oak avenues","Yes","No","Queens",31.1511062,-86.6635667
"332","Lawerence Virgilio Playground","39 Drive & 54 Street","Yes","Yes","Queens",29.932462,-82.8247735
"334","Levy Playground","Jewett & Castleton avenues","Yes","No","Staten Island",31.3615664,-96.1441315
"335","Liberty Pool","173rd Street and 106th Avenue","No","Yes","Queens",40.7020409,-73.7831254
"336","Lincoln Terrace Park","Buffalo Avenue/Protal Street/New York Avenue","Yes","No","Brooklyn",42.8864468,-78.8783689
"337","Lincoln Terrace Park (Arthur S. Somers Playground)","East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue","Yes","No","Brooklyn",40.7127837,-74.0059413
