OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
316,POINT (-73.86552800012059 40.73179199992481),QU,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Dining Area,40.7317919999,-73.8655280001,1021518.71187,205916.740119,,,Queens,
317,POINT (-73.86552800012059 40.73179199992481),QU,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Near the Playground,40.7317919999,-73.8655280001,1021518.71187,205916.740119,,,Queens,
318,POINT (-73.86552800012059 40.73179199992481),QU,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Gymnasium,40.7317919999,-73.8655280001,1021518.71187,205916.740119,,,Queens,
319,POINT (-73.86552800012059 40.73179199992481),QU,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Near the 62nd Avenue and 93rd Street Intersection,40.7317919999,-73.8655280001,1021518.71187,205916.740119,,,Queens,
320,POINT (-73.96038100019778 40.71500500041296),BK,Limited Free,TimeWarner,Metropolitan Recreation Center,Aerobics Room,40.7150050004,-73.9603810002,995233.116145,199774.595907,,,Brooklyn,
321,POINT (-73.9349349996731 40.67369499980551),BX,Limited Free,Cablevision,St. James Park,Lobby/east wing of recreation center,40.6736949998,-73.9349349997,1002298.39401,184728.363861,,,Bronx,
322,POINT (-73.9349349996731 40.67369499980551),BX,Limited Free,Cablevision,St. James Park,Lobby/west wing of recreation center,40.6736949998,-73.9349349997,1002298.39401,184728.363861,,,Bronx,
323,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Computer Lab,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
324,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Maintenance Office,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
325,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Gymnasium,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
326,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Dugout,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
327,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Administrative Office,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
328,POINT (-73.94232443989439 40.82480739960786),MN,Limited Free,TimeWarner,Jackie Robinson Park,Library,40.8248073996,-73.9423244399,1000212.3867,239782.041155,,,New York,
329,POINT (-73.95000000034437 40.75000200001013),MN,Limited Free,TimeWarner,Recreation Center 54,Multi Purpose Room,40.750002,-73.9500000003,998103.642228,212526.569091,,,New York,
330,POINT (-73.95000000034437 40.75000200001013),MN,Limited Free,TimeWarner,Recreation Center 54,Lobby,40.750002,-73.9500000003,998103.642228,212526.569091,,,New York,
